subjid cohort abs_mean abs_max rel_mean rel_max
MG0172MGMR1R1 1 0.067 0.171 0.015 0.067
MG0185MGMR1R1 1 0.276 0.672 0.049 0.363
MG0187MGMR1R1 1 0.111 0.423 0.016 0.074
MG0213MGMR1R1 1 0.077 0.291 0.037 0.186
MG0218MGMR1R1 1 0.046 0.138 0.015 0.096
MG0228MGMR1R1 1 0.079 0.322 0.020 0.062
MG0231MGMR1R1 1 0.118 0.347 0.051 0.231
MG0238MGMR1R1 1 0.288 0.551 0.045 0.181
MG0239MGMR1R1 1 0.312 0.906 0.056 0.187
MG0242MGMR1R1 1 0.321 0.708 0.026 0.374
MG0246MGMR1R1 1 0.119 0.430 0.024 0.249
MG0251MGMR1R1 1 0.138 0.414 0.026 0.101
MG0256MGMR1R1 1 0.230 0.691 0.028 0.230
MG0257MGMR1R1 1 0.055 0.124 0.019 0.071
MG0261MGMR1R1 1 0.102 0.315 0.034 0.126
MG0269MGMR1R1 1 0.312 0.705 0.015 0.047
MG0270MGMR1R1 1 0.124 0.427 0.020 0.067
TX0001TXMR1R1 1 0.224 0.430 0.066 0.231
TX0005TXMR1R1 1 0.084 0.283 0.046 0.171
TX0006TXMR1R1 1 0.213 0.496 0.064 0.320
TX0007TXMR1R1 2 0.188 0.621 0.029 0.095
TX0008TXMR1R1 2 0.114 0.337 0.019 0.066
TX0009TXMR1R1 2 0.192 0.461 0.063 0.249
TX0010TXMR1R1 1 0.111 0.552 0.046 0.344
TX0012TXMR1R1 1 0.068 0.181 0.032 0.112
TX0014TXMR1R1 1 0.143 0.303 0.106 0.247
TX0016TXMR1R1 2 0.089 0.220 0.022 0.094
TX0019TXMR1R1 2 0.420 0.937 0.170 0.733
TX0020TXMR1R1 1 0.229 1.055 0.045 0.289
TX0022TXMR1R1 2 0.132 0.213 0.026 0.077
TX0027TXMR1R1 2 0.177 0.391 0.025 0.108
TX0031TXMR1R1 1 0.227 0.450 0.053 0.142
TX0033TXMR1R1 2 0.079 0.181 0.026 0.121
TX0037TXMR1R1 2 0.054 0.135 0.016 0.066
TX0038TXMR1R1 2 0.060 0.154 0.020 0.082
TX0040TXMR1R1 2 0.055 0.122 0.019 0.095
TX0041TXMR1R1 2 0.177 0.588 0.034 0.177
TX0043TXMR1R1 1 0.133 0.523 0.052 0.438
TX0046TXMR1R1 1 0.286 0.611 0.040 0.213
