cohort subjid reg_qc
TX0103TXMR1R1 1 0.5228
TX0106TXMR1R1 1 0.5462
TX0107TXMR1R1 1 0.4768
TX0108TXMR1R1 1 0.4690
TX0110TXMR1R1 1 0.5323
TX0112TXMR1R1 1 0.4520
TX0114TXMR1R1 1 0.5165
TX0115TXMR1R1 1 0.5761
TX0119TXMR1R1 1 0.5075
TX0122TXMR1R1 1 0.5107
TX0123TXMR1R1 1 0.4304
TX0129TXMR1R1 1 0.5383
TX0130TXMR1R1 1 0.4736
TX0132TXMR1R1 1 0.4092
TX0133TXMR1R1 1 0.5124
TX0135TXMR1R1 1 0.5767
TX0136TXMR1R1 1 0.4491
TX0139TXMR1R1 1 0.6707
TX0140TXMR1R1 1 0.5231
TX0141TXMR1R1 1 0.5339
TX0142TXMR1R1 1 0.5753
TX0145TXMR1R1 1 0.6212
TX0149TXMR1R1 1 0.4536
TX0151TXMR1R1 1 0.5042
TX0153TXMR1R1 1 0.4838
TX0155TXMR1R1 1 0.4538
TX0159TXMR1R1 1 0.4463
TX0162TXMR1R1 1 0.5738
TX0165TXMR1R1 1 0.5016
TX0169TXMR1R1 1 0.4321
TX0172TXMR1R1 1 0.6094
TX0175TXMR1R1 1 0.4577
TX0177TXMR1R1 1 0.4431
TX0179TXMR1R1 1 0.6227
TX0182TXMR1R1 1 0.5220
TX0187TXMR1R1 1 0.5024
TX0188TXMR1R1 1 0.4727
TX0193TXMR1R1 1 0.5053
TX0194TXMR1R1 1 0.4937
TX0195TXMR1R1 1 0.4526
TX0204TXMR1R1 1 0.5437
UM0003UMMR1R1 1 0.5444
UM0004UMMR1R1 1 0.5063
UM0005UMMR1R1 2 0.3726
UM0006UMMR1R1 2 0.5323
UM0008UMMR1R1 1 0.5705
UM0011UMMR1R1 1 0.4901
UM0013UMMR1R1 1 0.4696
UM0015UMMR1R1 1 0.6069
UM0023UMMR1R1 2 0.4861
UM0025UMMR1R1 1 0.5587
UM0027UMMR1R1 1 0.4381
UM0029UMMR1R1 2 0.4355
UM0032UMMR1R1 2 0.5541
UM0035UMMR1R1 2 0.4757
UM0036UMMR1R1 1 0.5181
UM0037UMMR1R1 1 0.5857
UM0038UMMR1R1 1 0.4619
UM0047UMMR1R1 1 0.4995
UM0048UMMR1R1 1 0.4040
UM0049UMMR1R1 1 0.4756
